,date,order_qty,interval,open_nums,close_nums
0,2023-01-03,20,10,229,7
1,2023-01-04,20,10,10,1
2,2023-01-05,20,10,4,2
3,2023-01-06,20,10,2,2
4,2023-01-09,20,10,3,3
5,2023-01-10,20,10,6,3
6,2023-01-11,20,10,1,2
7,2023-01-12,20,10,3,3
8,2023-01-13,20,10,4,1
9,2023-01-16,20,10,4,7
10,2023-01-17,20,10,2,3
11,2023-01-18,20,10,0,3
12,2023-01-19,20,10,4,2
13,2023-01-20,20,10,3,8
14,2023-01-30,20,10,9,24
15,2023-01-31,20,10,7,7
16,2023-02-01,20,10,3,8
17,2023-02-02,20,10,6,2
18,2023-02-03,20,10,5,10
19,2023-02-06,20,10,5,3
20,2023-02-07,20,10,3,1
21,2023-02-08,20,10,3,6
22,2023-02-09,20,10,5,6
23,2023-02-10,20,10,6,7
24,2023-02-13,20,10,4,3
25,2023-02-14,20,10,7,7
26,2023-02-15,20,10,6,4
27,2023-02-16,20,10,4,5
28,2023-02-17,20,10,8,5
29,2023-02-20,20,10,2,8
30,2023-02-21,20,10,2,1
31,2023-02-22,20,10,2,6
32,2023-02-23,20,10,4,1
33,2023-02-24,20,10,2,4
34,2023-02-27,20,10,8,2
35,2023-02-28,20,10,1,5
36,2023-03-01,20,10,3,4
37,2023-03-02,20,10,2,5
38,2023-03-03,20,10,0,5
39,2023-03-06,20,10,1,10
40,2023-03-07,20,10,6,11
41,2023-03-08,20,10,6,7
42,2023-03-09,20,10,9,11
43,2023-03-10,20,10,10,22
44,2023-03-13,20,10,9,9
45,2023-03-14,20,10,21,15
46,2023-03-15,20,10,6,6
47,2023-03-16,20,10,25,12
48,2023-03-17,20,10,7,9
49,2023-03-20,20,10,11,11
50,2023-03-21,20,10,6,9
51,2023-03-22,20,10,4,6
52,2023-03-23,20,10,6,10
53,2023-03-24,20,10,8,6
54,2023-03-27,20,10,13,9
55,2023-03-28,20,10,3,8
56,2023-03-29,20,10,6,15
57,2023-03-30,20,10,5,13
58,2023-03-31,20,10,15,22
59,2023-04-03,20,10,1,16
60,2023-04-04,20,10,21,12
61,2023-04-06,20,10,12,18
62,2023-04-07,20,10,0,1
63,2023-04-10,20,10,0,24
64,2023-04-11,20,10,21,12
65,2023-04-12,20,10,16,22
66,2023-04-13,20,10,12,11
67,2023-04-14,20,10,7,9
68,2023-04-17,20,10,3,4
69,2023-04-18,20,10,0,1
70,2023-04-19,20,10,10,18
71,2023-04-20,20,10,16,12
72,2023-04-21,20,10,20,32
73,2023-04-24,20,10,37,21
74,2023-04-25,20,10,20,28
75,2023-04-26,20,10,6,7
76,2023-04-27,20,10,13,21
77,2023-04-28,20,10,14,28
78,2023-05-04,20,10,19,9
79,2023-05-05,20,10,12,13
80,2023-05-08,20,10,0,1
81,2023-05-09,20,10,13,12
82,2023-05-10,20,10,12,17
83,2023-05-11,20,10,19,18
84,2023-05-12,20,10,17,8
85,2023-05-15,20,10,21,22
86,2023-05-16,20,10,1,2
87,2023-05-17,20,10,11,14
88,2023-05-18,20,10,9,12
89,2023-05-19,20,10,14,11
90,2023-05-22,20,10,7,28
91,2023-05-23,20,10,0,1
92,2023-05-24,20,10,17,16
93,2023-05-25,20,10,10,9
94,2023-05-26,20,10,49,31
95,2023-05-29,20,10,0,1
96,2023-05-30,20,10,23,24
97,2023-05-31,20,10,18,18
98,2023-06-01,20,10,8,9
99,2023-06-02,20,10,43,30
100,2023-06-05,20,10,30,33
101,2023-06-06,20,10,16,18
102,2023-06-07,20,10,17,25
103,2023-06-08,20,10,10,10
104,2023-06-09,20,10,11,25
105,2023-06-12,20,10,20,15
106,2023-06-13,20,10,17,18
107,2023-06-14,20,10,13,11
108,2023-06-15,20,10,13,16
109,2023-06-16,20,10,18,14
110,2023-06-19,20,10,5,5
111,2023-06-20,20,10,6,8
112,2023-06-21,20,10,14,14
113,2023-06-26,20,10,23,11
114,2023-06-27,20,10,18,7
115,2023-06-28,20,10,16,12
116,2023-06-29,20,10,9,9
117,2023-06-30,20,10,18,25
118,2023-07-03,20,10,5,14
119,2023-07-04,20,10,15,10
120,2023-07-05,20,10,11,11
121,2023-07-06,20,10,7,6
122,2023-07-07,20,10,14,10
123,2023-07-10,20,10,7,8
124,2023-07-11,20,10,9,11
125,2023-07-12,20,10,1,2
126,2023-07-13,20,10,9,18
127,2023-07-14,20,10,7,11
128,2023-07-17,20,10,15,12
129,2023-07-18,20,10,10,9
130,2023-07-19,20,10,7,7
131,2023-07-20,20,10,12,10
132,2023-07-21,20,10,15,8
133,2023-07-24,20,10,9,13
134,2023-07-25,20,10,5,5
135,2023-07-26,20,10,9,15
136,2023-07-27,20,10,14,9
137,2023-07-28,20,10,6,4
138,2023-07-31,20,10,21,11
139,2023-08-01,20,10,2,5
140,2023-08-02,20,10,5,8
141,2023-08-03,20,10,11,11
142,2023-08-04,20,10,9,12
143,2023-08-07,20,10,11,9
144,2023-08-08,20,10,9,16
145,2023-08-09,20,10,4,8
146,2023-08-10,20,10,0,7
147,2023-08-11,20,10,20,24
148,2023-08-14,20,10,9,6
149,2023-08-15,20,10,11,8
150,2023-08-16,20,10,6,6
151,2023-08-17,20,10,9,12
152,2023-08-18,20,10,5,5
153,2023-08-21,20,10,3,5
154,2023-08-22,20,10,28,18
155,2023-08-23,20,10,0,1
156,2023-08-24,20,10,19,23
157,2023-08-25,20,10,8,11
158,2023-08-28,20,10,13,15
159,2023-08-29,20,10,2,2
160,2023-08-30,20,10,7,8
161,2023-08-31,20,10,10,12
162,2023-09-01,20,10,0,1
163,2023-09-04,20,10,11,20
164,2023-09-05,20,10,7,8
165,2023-09-06,20,10,6,13
166,2023-09-07,20,10,2,1
167,2023-09-08,20,10,14,12
168,2023-09-11,20,10,19,10
169,2023-09-12,20,10,9,6
170,2023-09-13,20,10,15,12
171,2023-09-14,20,10,13,9
172,2023-09-15,20,10,7,13
173,2023-09-18,20,10,14,10
174,2023-09-19,20,10,0,1
175,2023-09-20,20,10,5,9
176,2023-09-21,20,10,18,7
177,2023-09-22,20,10,4,11
178,2023-09-25,20,10,13,14
179,2023-09-26,20,10,10,10
180,2023-09-27,20,10,7,10
181,2023-09-28,20,10,8,9
182,2023-10-09,20,10,0,0
183,2023-10-10,20,10,17,8
184,2023-10-11,20,10,19,11
185,2023-10-12,20,10,9,10
186,2023-10-13,20,10,9,8
187,2023-10-16,20,10,21,25
188,2023-10-17,20,10,12,9
189,2023-10-18,20,10,4,6
190,2023-10-19,20,10,8,16
191,2023-10-20,20,10,12,8
192,2023-10-23,20,10,20,9
193,2023-10-24,20,10,7,13
194,2023-10-25,20,10,6,9
195,2023-10-26,20,10,7,7
196,2023-10-27,20,10,11,9
197,2023-10-30,20,10,5,12
198,2023-10-31,20,10,10,3
199,2023-11-01,20,10,6,6
200,2023-11-02,20,10,4,9
201,2023-11-03,20,10,2,7
202,2023-11-06,20,10,4,6
203,2023-11-07,20,10,4,7
204,2023-11-08,20,10,8,7
205,2023-11-09,20,10,6,7
206,2023-11-10,20,10,8,14
207,2023-11-13,20,10,3,2
208,2023-11-14,20,10,11,5
209,2023-11-15,20,10,4,4
210,2023-11-16,20,10,0,3
211,2023-11-17,20,10,16,8
212,2023-11-20,20,10,4,5
213,2023-11-21,20,10,9,8
214,2023-11-22,20,10,6,7
215,2023-11-23,20,10,4,2
216,2023-11-24,20,10,3,6
217,2023-11-27,20,10,9,4
218,2023-11-28,20,10,5,8
219,2023-11-29,20,10,10,7
220,2023-11-30,20,10,11,4
221,2023-12-01,20,10,21,9
222,2023-12-04,20,10,18,17
223,2023-12-05,20,10,10,8
224,2023-12-06,20,10,8,3
225,2023-12-07,20,10,40,28
226,2023-12-08,20,10,22,30
227,2023-12-11,20,10,23,15
228,2023-12-12,20,10,20,16
229,2023-12-13,20,10,8,13
230,2023-12-14,20,10,0,1
231,2023-12-15,20,10,14,11
232,2023-12-18,20,10,16,10
233,2023-12-19,20,10,1,1
234,2023-12-20,20,10,14,12
235,2023-12-21,20,10,0,1
236,2023-12-22,20,10,11,19
237,2023-12-25,20,10,3,4
238,2023-12-26,20,10,3,4
239,2023-12-27,20,10,6,7
240,2023-12-28,20,10,5,8
241,2023-12-29,20,10,6,11
242,2024-01-02,20,10,11,7
243,2024-01-03,20,10,4,7
244,2024-01-04,20,10,2,3
245,2024-01-05,20,10,7,5
246,2024-01-08,20,10,10,10
247,2024-01-09,20,10,8,9
248,2024-01-10,20,10,14,4
249,2024-01-11,20,10,2,3
250,2024-01-12,20,10,3,7
251,2024-01-15,20,10,12,11
252,2024-01-16,20,10,7,9
253,2024-01-17,20,10,5,11
254,2024-01-18,20,10,5,4
255,2024-01-19,20,10,3,9
256,2024-01-22,20,10,4,9
257,2024-01-23,20,10,3,3
258,2024-01-24,20,10,3,6
259,2024-01-25,20,10,4,9
260,2024-01-26,20,10,13,5
261,2024-01-29,20,10,9,12
262,2024-01-30,20,10,0,1
263,2024-01-31,20,10,5,7
264,2024-02-01,20,10,6,5
265,2024-02-02,20,10,0,0
266,2024-02-05,20,10,8,15
267,2024-02-06,20,10,8,5
268,2024-02-07,20,10,0,4
269,2024-02-08,20,10,4,7
270,2024-02-19,20,10,12,5
271,2024-02-20,20,10,15,2
272,2024-02-21,20,10,7,7
273,2024-02-22,20,10,5,5
274,2024-02-23,20,10,15,7
275,2024-02-26,20,10,1,1
276,2024-02-27,20,10,6,3
277,2024-02-28,20,10,3,6
278,2024-02-29,20,10,5,6
279,2024-03-01,20,10,11,7
280,2024-03-04,20,10,6,9
281,2024-03-05,20,10,6,6
282,2024-03-06,20,10,6,5
283,2024-03-07,20,10,6,6
284,2024-03-08,20,10,4,7
285,2024-03-11,20,10,7,8
286,2024-03-12,20,10,2,16
287,2024-03-13,20,10,3,6
288,2024-03-14,20,10,10,12
289,2024-03-15,20,10,6,10
290,2024-03-18,20,10,7,9
291,2024-03-19,20,10,5,7
292,2024-03-20,20,10,13,6
293,2024-03-21,20,10,12,15
294,2024-03-22,20,10,6,7
295,2024-03-25,20,10,13,5
296,2024-03-26,20,10,4,4
297,2024-03-27,20,10,11,13
298,2024-03-28,20,10,10,10
299,2024-03-29,20,10,8,11
300,2024-04-01,20,10,27,40
301,2024-04-02,20,10,10,8
302,2024-04-03,20,10,8,6
303,2024-04-08,20,10,11,11
304,2024-04-09,20,10,8,6
305,2024-04-10,20,10,7,7
306,2024-04-11,20,10,22,17
307,2024-04-12,20,10,6,3
308,2024-04-15,20,10,3,5
309,2024-04-16,20,10,15,5
310,2024-04-17,20,10,12,7
311,2024-04-18,20,10,5,2
312,2024-04-19,20,10,5,6
313,2024-04-22,20,10,5,3
314,2024-04-23,20,10,4,5
315,2024-04-24,20,10,7,5
316,2024-04-25,20,10,11,7
317,2024-04-26,20,10,4,5
318,2024-04-29,20,10,11,9
319,2024-04-30,20,10,2,6
320,2024-05-06,20,10,10,11
321,2024-05-07,20,10,6,16
322,2024-05-08,20,10,2,5
323,2024-05-09,20,10,7,6
324,2024-05-10,20,10,5,9
325,2024-05-13,20,10,12,11
326,2024-05-14,20,10,3,1
327,2024-05-15,20,10,16,4
328,2024-05-16,20,10,5,4
329,2024-05-17,20,10,8,8
330,2024-05-20,20,10,7,10
331,2024-05-21,20,10,12,14
332,2024-05-22,20,10,4,5
333,2024-05-23,20,10,14,6
334,2024-05-24,20,10,4,6
335,2024-05-27,20,10,3,8
336,2024-05-28,20,10,7,9
337,2024-05-29,20,10,6,6
338,2024-05-30,20,10,12,10
339,2024-05-31,20,10,11,4
340,2024-06-03,20,10,8,15
341,2024-06-04,20,10,13,13
342,2024-06-05,20,10,6,11
343,2024-06-06,20,10,2,8
344,2024-06-07,20,10,7,7
345,2024-06-11,20,10,13,3
346,2024-06-12,20,10,3,2
347,2024-06-13,20,10,5,3
348,2024-06-14,20,10,3,9
349,2024-06-17,20,10,8,3
350,2024-06-18,20,10,18,8
351,2024-06-19,20,10,12,9
352,2024-06-20,20,10,0,1
353,2024-06-21,20,10,8,12
354,2024-06-24,20,10,7,7
355,2024-06-25,20,10,5,9
